attendance_pct,assignment_completion,avg_grade,sleep_hours,social_activity,physical_activity,stress_survey,missed_deadlines,library_logins,lms_time_hours,risk_score,burnout
82.45071229516849,97.98710873172004,54.87232587538428,3.6382886631839133,3.0,2.0,7.0,5.0,18.0,0.0,70.18,1
72.92603548243223,88.49267365825537,62.83221993926723,5.209422483830747,2.0,1.0,6.0,6.0,2.0,9.516379499539761,67.39,1
84.71532807151038,71.19260739840348,53.11370118500058,5.879591699867533,5.0,1.0,10.0,7.0,10.0,10.848479623017168,76.08,1
97.84544784612038,57.061264445888526,60.38057705541439,9.331531486010284,5.0,3.0,5.0,6.0,6.0,4.256406327119002,33.93,0
71.48769937914996,83.96446627227179,36.59577999569321,7.334829686800637,1.0,4.0,1.0,0.0,16.0,5.849332947097703,26.63,0
71.4879456457623,77.86970770843499,68.19940561059408,4.4967776463501625,1.0,1.0,2.0,7.0,8.0,14.81356048031892,62.59,1
98.68819223261087,87.90386440055465,65.01808213043337,7.229054434126455,3.0,3.0,8.0,5.0,8.0,10.58840879850888,52.52,1
86.51152093729362,82.70343603363939,52.74367053397714,4.179044016592451,2.0,5.0,1.0,0.0,9.0,2.4566150536867957,33.54,0
67.95788421097572,90.9910543063867,74.88868502648607,8.12403658083061,4.0,3.0,3.0,4.0,12.0,12.249149588775657,27.42,0
83.13840065378947,59.29529576878864,79.06355206439838,5.793313022273182,1.0,3.0,2.0,3.0,14.0,5.34740584010816,43.12,0
68.04873460781306,96.34788131268651,40.88660203446538,6.359545716891244,4.0,3.0,5.0,1.0,4.0,6.126187835866759,39.35,0
68.01405369644614,73.95199209384799,53.55912832150679,8.488694971313285,4.0,2.0,4.0,7.0,2.0,10.98828696340399,45.34,0
78.62943407349051,100.0,53.46286475319053,4.569254647123625,2.0,3.0,7.0,1.0,7.0,10.522450138095676,57.18,1
46.30079633013303,56.21624363820864,50.90145348336703,4.404322722330513,3.0,3.0,5.0,0.0,19.0,7.986967294205842,61.26,1
49.12623251230451,100.0,77.44212262897622,5.624601010480992,2.0,2.0,8.0,6.0,9.0,7.478953127090735,74.83,1
66.5656870613854,73.95821566925295,62.09260791840795,8.057568276528976,1.0,2.0,4.0,4.0,12.0,8.746004806375275,46.58,0
59.80753319498364,56.97163992771103,61.03227738034084,4.220980886784736,4.0,5.0,6.0,2.0,2.0,6.097032534636835,64.16,1
79.71370998892911,60.32228331891357,34.9420645338987,3.0,2.0,4.0,4.0,2.0,7.0,15.445061258887712,66.55,1
61.37963886718184,63.5930538361136,74.53127045313839,5.823261712386502,2.0,1.0,2.0,1.0,8.0,2.154031504957671,39.2,0
53.81544447997062,78.48331892803833,46.41112407719791,7.32761119986638,2.0,1.0,1.0,3.0,11.0,8.795607027133373,36.79,0
96.98473153382331,80.45670976071,65.89898945399493,8.300392624608243,1.0,3.0,1.0,1.0,10.0,2.7029746331072557,14.63,0
71.61335549270197,58.52599992122842,69.16065406937288,5.805257956871902,3.0,5.0,8.0,0.0,1.0,14.680008736392608,56.69,1
76.01292307031886,69.51290815478035,85.40987893757976,5.882860089325996,2.0,3.0,4.0,3.0,17.0,8.788448330065126,46.49,0
53.62877720679815,100.0,45.367694013213324,8.230851101383621,1.0,1.0,5.0,2.0,8.0,4.716657035594437,44.23,0
66.83425913212226,100.0,20.0,3.6953874504568693,4.0,2.0,8.0,6.0,1.0,13.42523813130843,82.73,1
76.66383884564799,78.72647339348065,67.75774317130542,5.917218837225486,5.0,4.0,7.0,4.0,1.0,0.0,53.01,1
57.73509633866546,70.760069563364,92.0076677226628,6.785635834887587,1.0,5.0,8.0,7.0,2.0,11.40442012569494,76.55,1
80.63547027518509,72.40062653436523,83.58419529409156,7.173828081927551,5.0,2.0,8.0,4.0,15.0,15.756445942688735,48.59,0
65.99041965121792,82.27035945460833,68.14489122911938,5.735289960213676,2.0,4.0,6.0,0.0,18.0,10.897717789313896,48.79,0
70.62459375310085,49.54414869603189,57.62545721551929,6.551661517558762,2.0,5.0,10.0,1.0,3.0,7.4674477660795855,70.85,1
65.97440081655904,64.8524692515331,77.10683894955966,3.0,1.0,5.0,2.0,0.0,17.0,3.7890901909531385,51.63,1
100.0,36.62831852244821,50.39680700443297,5.512627381499227,5.0,1.0,6.0,7.0,19.0,15.412573177112538,65.32,1
74.79754162893099,77.98446245210559,72.14536654034329,7.180263068831701,2.0,2.0,1.0,4.0,17.0,14.637109288211505,31.48,0
59.13433606566149,82.94391879405482,72.5820523874994,5.02655894861798,4.0,5.0,1.0,7.0,9.0,6.773190845544894,48.24,0
87.33817368154783,60.33627075401252,80.90314861248319,6.5884763323843964,3.0,5.0,3.0,2.0,10.0,6.9068124319523605,32.52,0
56.68734525043467,100.0,100.0,7.170308751204047,3.0,4.0,3.0,4.0,16.0,15.933835501133252,32.48,0
